1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,COCOH,COH,CO,Eads (Ry),Eads (eV)
4,11,5,8,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,5,8,-90.78642894,-46.03008381,-44.85,0.09365487,1.274
4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.72282455,-45.93016161,-44.85,0.05733706,0.780
4,11,5,9,4,11,4,11,5,9,4,11,4,11,4,11,4,11,5,9,4,11,4,11,4,11,-90.76307209,-45.94189677,-44.85,0.02882468,0.392
5,9,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,9,-90.76361003,-46.006298,-44.85,0.09268797,1.261
5,9,4,11,4,11,4,11,5,9,4,11,4,11,5,9,4,11,5,9,5,9,4,11,4,11,-90.82112759,-46.02525035,-44.85,0.05412276,0.736
4,11,5,9,5,9,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,5,9,-90.76021468,-46.0063665,-44.85,0.09615182,1.308
4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,4,11,-90.77162217,-46.00874228,-44.85,0.08712011,1.185
4,11,5,9,4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,5,9,5,9,4,11,-90.81884533,-46.01671579,-44.85,0.04787046,0.651
4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.73208993,-45.94089659,-44.85,0.05880666,0.800
4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.70890853,-45.92092446,-44.85,0.06201593,0.844
4,11,5,9,4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.7160756,-45.9291215,-44.85,0.0630459,0.858
4,11,4,11,4,11,4,11,5,9,4,11,5,9,4,11,5,9,4,11,5,9,4,11,4,11,-90.77427161,-46.01681545,-44.85,0.09254384,1.259
4,11,4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,5,9,4,11,-90.77412855,-46.0138863,-44.85,0.08975775,1.221
4,11,5,9,5,9,4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,-90.7106753,-45.92280837,-44.85,0.06213307,0.845
4,11,4,11,4,11,4,11,5,9,4,11,4,11,5,9,5,9,4,11,5,9,4,11,4,11,-90.77337796,-46.00654245,-44.85,0.08316449,1.132
4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,9,4,11,-90.76973032,-45.96165316,-44.85,0.04192284,0.570
4,11,5,9,4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,5,9,4,11,4,11,-90.76021769,-46.00566758,-44.85,0.09544989,1.299
4,11,4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,-90.73207456,-45.94089391,-44.85,0.05881935,0.800
4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,5,9,-90.81293986,-46.00516328,-44.85,0.04222342,0.574
5,9,4,11,4,11,4,11,4,11,4,11,5,9,4,11,5,9,5,9,4,11,4,11,4,11,-90.78070013,-45.96415139,-44.85,0.03345126,0.455
4,11,4,11,5,9,4,11,4,11,4,11,5,9,5,9,4,11,5,9,4,11,4,11,5,9,-90.80497404,-46.03098783,-44.85,0.07601379,1.034
4,11,5,9,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.71190209,-45.92530347,-44.85,0.06340138,0.863
4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,5,9,5,9,4,11,4,11,4,11,-90.78199264,-45.96153355,-44.85,0.02954091,0.402
4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,9,5,9,4,11,-90.8149331,-46.00699911,-44.85,0.04206601,0.572
4,11,5,9,4,11,4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,5,9,-90.75990445,-46.00807376,-44.85,0.09816931,1.336
4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,-90.76669133,-46.00359127,-44.85,0.08689994,1.182
4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,5,9,4,11,4,11,4,11,5,9,-90.77111652,-46.00538072,-44.85,0.0842642,1.146
5,9,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,4,11,-90.77133677,-45.9431206,-44.85,0.02178383,0.296
4,11,4,11,4,11,5,9,4,11,4,11,4,11,4,11,4,11,4,11,5,9,4,11,4,11,-90.77225212,-46.00972809,-44.85,0.08747597,1.190
5,9,4,11,4,11,4,11,5,9,4,11,5,9,4,11,4,11,4,11,5,9,5,9,5,9,-90.84468766,-46.03323051,-44.85,0.03854285,0.524
