,Eads pred (eV),Elements
178,-3.238778591156006,Ru_Rh
179,-3.3246729373931885,Ru_Rh
180,-4.06181001663208,Ru_Rh
181,-3.3824918270111084,Ru_Rh
182,-2.36222505569458,Ru_Rh
183,-4.31648588180542,Ru_Rh
184,-4.267284393310547,Ru_Rh
185,-4.276617527008057,Ru_Rh
186,-3.287282943725586,Ru_Rh
187,-2.725432872772217,Ru_Rh
188,-3.7727885246276855,Ru_Rh
189,-3.255013942718506,Ru_Rh
190,-2.7288460731506348,Ru_Rh
191,-2.3996706008911133,Ru_Rh
192,-3.177640676498413,Ru_Rh
193,-2.9752469062805176,Ru_Rh
194,-3.250223159790039,Ru_Rh
195,-3.1053271293640137,Ru_Rh
196,-3.058605194091797,Ru_Rh
197,-2.9576220512390137,Ru_Rh
198,-2.697524070739746,Ru_Rh
199,-3.177640676498413,Ru_Rh
200,-2.975133180618286,Ru_Rh
201,-3.370429039001465,Ru_Rh
202,-3.8154520988464355,Ru_Rh
203,-2.509218692779541,Ru_Rh
204,-2.4349896907806396,Ru_Rh
205,-3.1589696407318115,Ru_Rh
206,-3.276007652282715,Ru_Rh
207,-2.2473459243774414,Ru_Rh
208,-2.237065315246582,Ru_Rh
209,-3.4083378314971924,Ru_Rh
210,-3.9288320541381836,Ru_Rh
211,-4.108262062072754,Ru_Rh
212,-3.9106359481811523,Ru_Rh
213,-3.8436460494995117,Ru_Rh
214,-3.357203483581543,Ru_Rh
215,-3.2111153602600098,Ru_Rh
216,-4.105003833770752,Ru_Rh
217,-3.3568246364593506,Ru_Rh
218,-3.5279998779296875,Ru_Rh
219,-3.8011741638183594,Ru_Rh
220,-3.8794565200805664,Ru_Rh
221,-3.326911449432373,Ru_Rh
222,-3.9327025413513184,Ru_Rh
223,-2.705937147140503,Ru_Rh
224,-3.551365375518799,Ru_Rh
225,-3.9864842891693115,Ru_Rh
226,-3.803788900375366,Ru_Rh
227,-2.790414571762085,Ru_Rh
228,-3.2020320892333984,Ru_Rh
229,-4.135913372039795,Ru_Rh
230,-2.4928951263427734,Ru_Rh
231,-3.298633575439453,Ru_Rh
232,-3.3516666889190674,Ru_Rh
233,-3.283214807510376,Ru_Rh
234,-4.33707332611084,Ru_Rh
235,-3.38139271736145,Ru_Rh
236,-3.2615280151367188,Ru_Rh
237,-3.4340133666992188,Ru_Rh
238,-3.9615442752838135,Ru_Rh
239,-3.8475611209869385,Ru_Rh
240,-3.8004555702209473,Ru_Rh
241,-2.697524070739746,Ru_Rh
242,-3.537879705429077,Ru_Rh
243,-3.9665119647979736,Ru_Rh
244,-3.3790388107299805,Ru_Rh
245,-3.9914517402648926,Ru_Rh
246,-2.825016975402832,Ru_Rh
247,-3.379364252090454,Ru_Rh
248,-3.8643531799316406,Ru_Rh
249,-4.3697638511657715,Ru_Rh
250,-2.5983452796936035,Ru_Rh
251,-2.7126312255859375,Ru_Rh
252,-2.697524070739746,Ru_Rh
253,-3.8643200397491455,Ru_Rh
254,-3.915127754211426,Ru_Rh
255,-3.278404951095581,Ru_Rh
256,-3.3862082958221436,Ru_Rh
257,-5.0641679763793945,Ru_Rh
258,-3.765822410583496,Ru_Rh
259,-4.134016990661621,Ru_Rh
260,-3.2459499835968018,Ru_Rh
261,-3.787968873977661,Ru_Rh
262,-2.548227548599243,Ru_Rh
263,-2.6843056678771973,Ru_Rh
264,-2.3707470893859863,Ru_Rh
265,-2.4727416038513184,Ru_Rh
266,-4.654325008392334,Ru_Rh
267,-3.410567045211792,Ru_Rh
268,-2.3505516052246094,Ru_Rh
269,-3.2748210430145264,Ru_Rh
270,-2.919806957244873,Ru_Rh
271,-4.024788856506348,Ru_Rh
272,-3.2779598236083984,Ru_Rh
273,-4.195311069488525,Ru_Rh
274,-3.1304938793182373,Ru_Rh
275,-3.102551221847534,Ru_Rh
276,-3.959559679031372,Ru_Rh
277,-3.963937282562256,Ru_Rh
278,-3.640535354614258,Ru_Rh
279,-2.3926146030426025,Ru_Rh
280,-3.2879638671875,Ru_Rh
281,-2.440903425216675,Ru_Rh
282,-4.313182353973389,Ru_Rh
283,-3.903456449508667,Ru_Rh
284,-3.1442508697509766,Ru_Rh
285,-3.868800401687622,Ru_Rh
286,-2.697524070739746,Ru_Rh
287,-2.258772134780884,Ru_Rh
288,-3.3092751502990723,Ru_Rh
289,-3.746771812438965,Ru_Rh
290,-3.636411190032959,Ru_Rh
291,-2.8545424938201904,Ru_Rh
292,-3.8480112552642822,Ru_Rh
293,-3.8535828590393066,Ru_Rh
294,-3.1609835624694824,Ru_Rh
295,-2.6013832092285156,Ru_Rh
296,-3.732076644897461,Ru_Rh
297,-3.12801194190979,Ru_Rh
298,-3.5754475593566895,Ru_Rh
299,-3.8859636783599854,Ru_Rh
300,-2.588249683380127,Ru_Rh
301,-4.282942771911621,Ru_Rh
302,-2.700110912322998,Ru_Rh
303,-3.722562074661255,Ru_Rh
304,-3.2610397338867188,Ru_Rh
305,-2.8602488040924072,Ru_Rh
306,-3.9777655601501465,Ru_Rh
307,-3.357326030731201,Ru_Rh
308,-3.7546119689941406,Ru_Rh
309,-3.821152687072754,Ru_Rh
310,-2.723778486251831,Ru_Rh
311,-3.3389246463775635,Ru_Rh
312,-4.042959690093994,Ru_Rh
313,-4.129011631011963,Ru_Rh
314,-3.732076644897461,Ru_Rh
